Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,City_Name,Host_Country
335987,18-Apr-08,2,1,1,M Chinnaswamy Stadium,2,field,0,1,0,by runs,140,1,2,Bangalore,India
335988,19-Apr-08,4,3,1,"Punjab Cricket Association Stadium, Mohali",3,bat,0,1,0,by runs,33,3,19,Chandigarh,India
335989,19-Apr-08,6,5,1,Feroz Shah Kotla,5,bat,0,1,0,by wickets,9,6,90,Delhi,India
335990,20-Apr-08,7,2,1,Wankhede Stadium,7,bat,0,1,0,by wickets,5,2,11,Mumbai,India
335991,20-Apr-08,1,8,1,Eden Gardens,8,bat,0,1,0,by wickets,5,1,4,Kolkata,India
335992,21-Apr-08,5,4,1,Sawai Mansingh Stadium,4,bat,0,1,0,by wickets,6,5,32,Jaipur,India
335993,22-Apr-08,8,6,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,9,6,41,Hyderabad,India
335994,23-Apr-08,3,7,1,"MA Chidambaram Stadium, Chepauk",7,field,0,1,0,by runs,6,3,18,Chennai,India
335995,24-Apr-08,8,5,1,"Rajiv Gandhi International Stadium, Uppal",5,field,0,1,0,by wickets,3,5,31,Hyderabad,India
335996,25-Apr-08,4,7,1,"Punjab Cricket Association Stadium, Mohali",7,field,0,1,0,by runs,66,4,26,Chandigarh,India
335997,26-Apr-08,2,5,1,M Chinnaswamy Stadium,5,field,0,1,0,by wickets,7,5,32,Bangalore,India
335998,26-Apr-08,3,1,1,"MA Chidambaram Stadium, Chepauk",1,bat,0,1,0,by wickets,9,3,22,Chennai,India
335999,27-Apr-08,7,8,1,Dr DY Patil Sports Academy,8,field,0,1,0,by wickets,10,8,53,Mumbai,India
336000,27-Apr-08,4,6,1,"Punjab Cricket Association Stadium, Mohali",6,bat,0,1,0,by wickets,4,4,28,Chandigarh,India
336001,28-Apr-08,2,3,1,M Chinnaswamy Stadium,3,bat,0,1,0,by runs,13,3,20,Bangalore,India
336002,29-Apr-08,1,7,1,Eden Gardens,1,bat,0,1,0,by wickets,7,7,44,Kolkata,India
336003,30-Apr-08,6,2,1,Feroz Shah Kotla,2,field,0,1,0,by runs,10,6,118,Delhi,India
336004,01-May-08,8,4,1,"Rajiv Gandhi International Stadium, Uppal",4,field,0,1,0,by wickets,7,4,100,Hyderabad,India
336005,01-May-08,5,1,1,Sawai Mansingh Stadium,5,bat,0,1,0,by runs,45,5,101,Jaipur,India
336006,02-May-08,3,6,1,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by wickets,8,6,41,Chennai,India
336007,25-May-08,8,2,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,5,2,81,Hyderabad,India
336008,03-May-08,4,1,1,"Punjab Cricket Association Stadium, Mohali",4,bat,0,1,0,by runs,9,4,29,Chandigarh,India
336009,04-May-08,7,6,1,Dr DY Patil Sports Academy,6,field,0,1,0,by runs,29,7,49,Mumbai,India
336010,04-May-08,5,3,1,Sawai Mansingh Stadium,3,bat,0,1,0,by wickets,8,5,102,Jaipur,India
336011,05-May-08,2,4,1,M Chinnaswamy Stadium,4,field,0,1,0,by wickets,6,4,77,Bangalore,India
336012,06-May-08,3,8,1,"MA Chidambaram Stadium, Chepauk",8,field,0,1,0,by wickets,7,8,53,Chennai,India
336013,07-May-08,7,5,1,Dr DY Patil Sports Academy,7,field,0,1,0,by wickets,7,7,73,Mumbai,India
336014,08-May-08,6,3,1,Feroz Shah Kotla,3,field,0,1,0,by wickets,4,3,20,Delhi,India
336015,08-May-08,1,2,1,Eden Gardens,1,bat,0,1,0,by runs,5,1,1,Kolkata,India
336016,09-May-08,5,8,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,8,5,31,Jaipur,India
336017,28-May-08,2,7,1,M Chinnaswamy Stadium,7,field,0,1,0,by wickets,9,7,149,Bangalore,India
336018,10-May-08,3,4,1,"MA Chidambaram Stadium, Chepauk",4,field,0,1,0,by runs,18,3,151,Chennai,India
336019,11-May-08,8,1,1,"Rajiv Gandhi International Stadium, Uppal",1,bat,0,1,0,by runs,23,1,1,Hyderabad,India
